customer_id,email,state,plan,plan_list_price,churn_status,user_id,total_tickets,avg_resolution_time,event_count,ticket_count
C10000,user10000@example.com,New Jersey,Enterprise,105,Y,10000,3.0,21.44666666666667,3.0,3.0
C10001,user10001@example.net,Louisiana,Basic,22,Y,10001,4.0,17.5425,1.0,4.0
C10002,user10002@example.net,Oklahoma,Basic,24,,10002,3.0,6.433333333333334,1.0,3.0
C10003,user10003@example.com,Michigan,Free,0,,10003,1.0,2.19,1.0,1.0
C10004,user10004@example.com,Texas,Enterprise,119,,10004,4.0,8.5425,4.0,4.0
C10005,user10005@example.org,Ohio,Enterprise,114,,10005,2.0,7.8149999999999995,1.0,2.0
C10006,user10006@example.com,Kentucky,Basic,19,,10006,2.0,6.859999999999999,0.0,2.0
C10007,user10007@example.com,North Carolina,Basic,10,Y,10007,3.0,25.166666666666668,0.0,3.0
C10008,user10008@example.net,Alaska,Enterprise,87,,10008,1.0,4.58,2.0,1.0
C10009,user10009@example.com,Virginia,Free,0,,10009,3.0,8.273333333333333,4.0,3.0
C10010,user10010@example.net,Kansas,Pro,51,,10010,3.0,3.856666666666667,0.0,3.0
C10011,user10011@example.net,Arizona,Pro,57,,10011,2.0,8.815,1.0,2.0
C10012,user10012@example.net,Idaho,Enterprise,93,,10012,2.0,3.525,2.0,2.0
C10013,user10013@example.com,Alaska,Enterprise,104,,10013,,0.0,1.0,0.0
C10014,user10014@example.com,Connecticut,Free,0,Y,10014,3.0,24.19666666666667,0.0,3.0
C10015,user10015@example.com,Kansas,Enterprise,110,,10015,2.0,7.155,0.0,2.0
C10016,user10016@example.net,Colorado,Enterprise,138,,10016,2.0,6.23,1.0,2.0
C10017,user10017@example.org,Rhode Island,Basic,24,,10017,1.0,7.19,0.0,1.0
C10018,user10018@example.org,Idaho,Pro,57,,10018,5.0,8.142,0.0,5.0
C10019,user10019@example.org,Maine,Enterprise,100,,10019,1.0,6.29,2.0,1.0
C10020,user10020@example.org,Wisconsin,Basic,16,,10020,1.0,7.32,2.0,1.0
C10021,user10021@example.org,Vermont,Pro,64,Y,10021,3.0,17.46666666666667,0.0,3.0
C10022,user10022@example.com,Florida,Free,0,Y,10022,3.0,15.959999999999999,0.0,3.0
C10023,user10023@example.com,Texas,Pro,32,,10023,4.0,5.825,1.0,4.0
C10024,user10024@example.net,Delaware,Enterprise,90,,10024,2.0,5.715,3.0,2.0
C10025,user10025@example.com,Colorado,Free,0,Y,10025,3.0,17.003333333333334,0.0,3.0
C10026,user10026@example.org,New York,Pro,43,,10026,4.0,7.7775,0.0,4.0
C10027,user10027@example.net,Montana,Pro,51,,10027,2.0,6.745,1.0,2.0
C10028,user10028@example.com,Kentucky,Enterprise,92,,10028,2.0,1.98,1.0,2.0
C10029,user10029@example.com,Missouri,Pro,51,,10029,4.0,6.6625000000000005,2.0,4.0
C10030,user10030@example.com,West Virginia,Enterprise,119,,10030,2.0,6.965,1.0,2.0
C10031,user10031@example.org,Connecticut,Free,0,,10031,4.0,3.7199999999999998,2.0,4.0
C10032,user10032@example.org,New Mexico,Enterprise,104,Y,10032,2.0,21.6,0.0,2.0
C10033,user10033@example.org,Ohio,Pro,42,Y,10033,1.0,16.78,1.0,1.0
C10034,user10034@example.com,Iowa,Enterprise,139,Y,10034,2.0,21.5,2.0,2.0
C10035,user10035@example.org,West Virginia,Basic,30,,10035,1.0,7.63,1.0,1.0
C10036,user10036@example.org,Connecticut,Enterprise,97,Y,10036,1.0,18.3,1.0,1.0
C10037,user10037@example.net,Colorado,Pro,53,,10037,2.0,9.25,4.0,2.0
C10038,user10038@example.org,Montana,Free,0,Y,10038,6.0,16.45,0.0,6.0
C10039,user10039@example.org,Rhode Island,Enterprise,125,,10039,3.0,6.56,2.0,3.0
C10040,user10040@example.net,Kansas,Basic,19,,10040,4.0,6.442500000000001,0.0,4.0
C10041,user10041@example.org,Virginia,Enterprise,121,,10041,3.0,4.319999999999999,1.0,3.0
C10042,user10042@example.net,North Dakota,Enterprise,132,,10042,1.0,4.72,0.0,1.0
C10043,user10043@example.com,Hawaii,Enterprise,143,,10043,,0.0,0.0,0.0
C10044,user10044@example.net,Louisiana,Basic,28,,10044,4.0,6.5175,2.0,4.0
C10045,user10045@example.com,Nebraska,Basic,19,,10045,2.0,7.369999999999999,3.0,2.0
C10046,user10046@example.com,Rhode Island,Free,0,,10046,1.0,3.73,0.0,1.0
C10047,user10047@example.com,Missouri,Basic,22,,10047,,0.0,2.0,0.0
C10048,user10048@example.net,South Dakota,Enterprise,134,,10048,3.0,3.73,2.0,3.0
C10049,user10049@example.org,Virginia,Basic,12,,10049,1.0,3.17,2.0,1.0
C10050,user10050@example.com,Connecticut,Basic,16,Y,10050,1.0,12.15,4.0,1.0
C10051,user10051@example.com,Hawaii,Free,0,,10051,,0.0,1.0,0.0
C10052,user10052@example.com,West Virginia,Pro,33,Y,10052,6.0,17.830000000000002,0.0,6.0
C10053,user10053@example.org,Wisconsin,Basic,28,Y,10053,1.0,21.36,0.0,1.0
C10054,user10054@example.com,Montana,Free,0,,10054,2.0,4.83,1.0,2.0
C10055,user10055@example.net,West Virginia,Free,0,,10055,1.0,6.0,2.0,1.0
C10056,user10056@example.com,Utah,Basic,24,,10056,2.0,11.690000000000001,1.0,2.0
C10057,user10057@example.org,Washington,Free,0,,10057,4.0,5.8425,2.0,4.0
C10058,user10058@example.org,Kansas,Free,0,Y,10058,2.0,21.57,0.0,2.0
C10059,user10059@example.com,Rhode Island,Basic,29,Y,10059,,0.0,2.0,0.0
C10060,user10060@example.org,Montana,Enterprise,95,,10060,4.0,7.7025,0.0,4.0
C10061,user10061@example.com,Virginia,Enterprise,99,,10061,1.0,2.07,1.0,1.0
C10062,user10062@example.org,Arizona,Free,0,,10062,,0.0,1.0,0.0
C10063,user10063@example.org,Louisiana,Free,0,Y,10063,3.0,16.423333333333332,0.0,3.0
C10064,user10064@example.net,Nebraska,Basic,17,,10064,3.0,12.386666666666665,1.0,3.0
C10065,user10065@example.net,Utah,Basic,24,Y,10065,3.0,20.47,0.0,3.0
C10066,user10066@example.com,Vermont,Enterprise,140,,10066,2.0,3.9,0.0,2.0
C10067,user10067@example.org,Pennsylvania,Free,0,,10067,3.0,5.1000000000000005,0.0,3.0
C10068,user10068@example.org,Nevada,Free,0,Y,10068,1.0,12.57,0.0,1.0
C10069,user10069@example.net,Hawaii,Enterprise,90,,10069,1.0,5.11,0.0,1.0
C10070,user10070@example.com,Iowa,Basic,17,,10070,,0.0,0.0,0.0
C10071,user10071@example.com,Arkansas,Free,0,Y,10071,1.0,10.48,0.0,1.0
C10072,user10072@example.com,Colorado,Enterprise,115,,10072,2.0,5.1,2.0,2.0
C10073,user10073@example.com,Virginia,Pro,79,,10073,2.0,9.190000000000001,2.0,2.0
C10074,user10074@example.net,Illinois,Free,0,Y,10074,2.0,21.715,0.0,2.0
C10075,user10075@example.net,Montana,Free,0,Y,10075,1.0,18.92,1.0,1.0
C10076,user10076@example.net,Nebraska,Pro,49,Y,10076,2.0,25.380000000000003,0.0,2.0
C10077,user10077@example.net,Virginia,Free,0,,10077,3.0,4.2299999999999995,0.0,3.0
C10078,user10078@example.org,Kentucky,Enterprise,137,,10078,2.0,5.865,2.0,2.0
C10079,user10079@example.org,Florida,Pro,61,,10079,2.0,5.19,1.0,2.0
C10080,user10080@example.org,Delaware,Pro,64,,10080,1.0,7.25,1.0,1.0
C10081,user10081@example.com,Michigan,Free,0,,10081,5.0,3.95,1.0,5.0
C10082,user10082@example.com,Ohio,Enterprise,131,,10082,,0.0,1.0,0.0
C10083,user10083@example.net,New Jersey,Free,0,,10083,5.0,6.697999999999999,3.0,5.0
C10084,user10084@example.com,Wyoming,Free,0,Y,10084,,0.0,0.0,0.0
C10085,user10085@example.net,North Dakota,Free,0,Y,10085,4.0,24.305,1.0,4.0
C10086,user10086@example.net,California,Free,0,Y,10086,2.0,19.945,0.0,2.0
C10087,user10087@example.com,New York,Pro,71,,10087,2.0,3.3150000000000004,2.0,2.0
C10088,user10088@example.com,Montana,Enterprise,104,Y,10088,2.0,18.97,1.0,2.0
C10089,user10089@example.org,Texas,Free,0,,10089,1.0,10.3,2.0,1.0
C10090,user10090@example.com,Michigan,Free,0,,10090,1.0,3.4,0.0,1.0
C10091,user10091@example.org,Oklahoma,Pro,73,Y,10091,5.0,17.524,0.0,5.0
C10092,user10092@example.org,Pennsylvania,Basic,20,,10092,1.0,1.22,0.0,1.0
C10093,user10093@example.org,Arizona,Enterprise,95,,10093,1.0,4.93,0.0,1.0
C10094,user10094@example.org,Vermont,Enterprise,125,Y,10094,1.0,9.91,0.0,1.0
C10095,user10095@example.org,Illinois,Basic,30,,10095,2.0,7.35,0.0,2.0
C10096,user10096@example.com,Michigan,Pro,60,Y,10096,1.0,14.1,0.0,1.0
C10097,user10097@example.org,Connecticut,Pro,62,,10097,3.0,8.863333333333333,1.0,3.0
C10098,user10098@example.com,Missouri,Basic,28,Y,10098,2.0,18.939999999999998,0.0,2.0
C10099,user10099@example.com,New Jersey,Enterprise,147,Y,10099,2.0,12.290000000000001,0.0,2.0
C10100,user10100@example.com,Tennessee,Enterprise,111,,10100,4.0,7.6625,2.0,4.0
C10101,user10101@example.com,Arizona,Basic,26,,10101,4.0,7.6025,2.0,4.0
C10102,user10102@example.net,New Mexico,Free,0,,10102,3.0,8.106666666666667,0.0,3.0
C10103,user10103@example.org,Missouri,Basic,13,,10103,4.0,6.3425,1.0,4.0
C10104,user10104@example.com,Illinois,Pro,69,,10104,2.0,11.920000000000002,2.0,2.0
C10105,user10105@example.com,Utah,Basic,12,,10105,1.0,12.63,2.0,1.0
C10106,user10106@example.org,North Carolina,Enterprise,130,,10106,1.0,8.5,2.0,1.0
C10107,user10107@example.org,Florida,Basic,10,,10107,1.0,4.44,0.0,1.0
C10108,user10108@example.com,Minnesota,Enterprise,94,Y,10108,4.0,17.0975,0.0,4.0
C10109,user10109@example.com,Tennessee,Enterprise,136,,10109,3.0,2.143333333333333,3.0,3.0
C10110,user10110@example.net,Maryland,Free,0,,10110,3.0,14.256666666666666,2.0,3.0
C10111,user10111@example.net,Tennessee,Free,0,Y,10111,3.0,16.466666666666665,0.0,3.0
C10112,user10112@example.com,Idaho,Basic,30,,10112,2.0,6.715,0.0,2.0
C10113,user10113@example.net,Massachusetts,Enterprise,144,Y,10113,2.0,15.675,0.0,2.0
C10114,user10114@example.net,New York,Free,0,Y,10114,1.0,23.44,0.0,1.0
C10115,user10115@example.net,Delaware,Pro,57,Y,10115,4.0,20.43,0.0,4.0
C10116,user10116@example.org,Connecticut,Free,0,Y,10116,1.0,28.27,0.0,1.0
C10117,user10117@example.net,Idaho,Basic,16,Y,10117,2.0,10.925,0.0,2.0
C10118,user10118@example.com,Delaware,Free,0,,10118,1.0,10.69,2.0,1.0
C10119,user10119@example.net,Maryland,Free,0,Y,10119,4.0,23.15,1.0,4.0
C10120,user10120@example.net,Massachusetts,Free,0,,10120,5.0,6.5680000000000005,4.0,5.0
C10121,user10121@example.com,New Mexico,Pro,42,,10121,4.0,6.425,3.0,4.0
C10122,user10122@example.com,South Dakota,Basic,30,,10122,2.0,3.995,1.0,2.0
C10123,user10123@example.com,Minnesota,Basic,19,,10123,1.0,4.73,2.0,1.0
C10124,user10124@example.org,Minnesota,Basic,25,,10124,2.0,5.365,1.0,2.0
C10125,user10125@example.com,Montana,Free,0,,10125,3.0,9.19,0.0,3.0
C10126,user10126@example.com,Ohio,Pro,62,,10126,1.0,1.67,1.0,1.0
C10127,user10127@example.com,Mississippi,Enterprise,120,,10127,2.0,8.165000000000001,1.0,2.0
C10128,user10128@example.org,Wyoming,Basic,17,,10128,3.0,7.88,3.0,3.0
C10129,user10129@example.net,Delaware,Basic,10,Y,10129,4.0,11.87,0.0,4.0
C10130,user10130@example.net,Washington,Basic,17,,10130,,0.0,1.0,0.0
C10131,user10131@example.com,Kentucky,Pro,54,,10131,,0.0,0.0,0.0
C10132,user10132@example.net,Alaska,Enterprise,125,,10132,2.0,11.395,3.0,2.0
C10133,user10133@example.org,Missouri,Enterprise,147,,10133,4.0,6.5875,3.0,4.0
C10134,user10134@example.com,Vermont,Basic,23,,10134,2.0,10.225,4.0,2.0
C10135,user10135@example.net,South Carolina,Basic,24,,10135,3.0,4.136666666666667,0.0,3.0
C10136,user10136@example.com,Arkansas,Free,0,,10136,2.0,8.27,0.0,2.0
C10137,user10137@example.net,Virginia,Free,0,,10137,2.0,8.0,2.0,2.0
C10138,user10138@example.com,West Virginia,Basic,10,,10138,4.0,5.42,0.0,4.0
C10139,user10139@example.com,Missouri,Free,0,,10139,4.0,6.6975,1.0,4.0
C10140,user10140@example.net,Massachusetts,Free,0,Y,10140,3.0,22.776666666666667,2.0,3.0
C10141,user10141@example.org,Utah,Enterprise,87,,10141,2.0,11.0,2.0,2.0
C10142,user10142@example.org,North Dakota,Enterprise,131,Y,10142,2.0,11.455,0.0,2.0
C10143,user10143@example.com,Montana,Enterprise,137,,10143,3.0,1.29,4.0,3.0
C10144,user10144@example.org,Vermont,Pro,56,,10144,3.0,4.97,1.0,3.0
C10145,user10145@example.net,Rhode Island,Enterprise,116,,10145,1.0,11.49,2.0,1.0
C10146,user10146@example.com,Florida,Enterprise,148,Y,10146,2.0,6.744999999999999,1.0,2.0
C10147,user10147@example.com,Iowa,Basic,19,,10147,1.0,5.2,1.0,1.0
C10148,user10148@example.com,Ohio,Free,0,Y,10148,3.0,22.973333333333333,0.0,3.0
C10149,user10149@example.com,Louisiana,Free,0,,10149,2.0,8.785,2.0,2.0
C10150,user10150@example.net,Missouri,Basic,30,Y,10150,4.0,15.815000000000001,0.0,4.0
